"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"JUN",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,55.5555555555556,100
"JUNB",0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,44.4444444444444,22.2222222222222
"LARP6",0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,88.8888888888889,44.4444444444444
"LOXL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"LOXL2",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,44.4444444444444,100
"LTBP2",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,100
"MMP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"MMP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"MMP2",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,88.8888888888889,77.7777777777778
"NOX4",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,77.7777777777778,100
"PDGFA",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,77.7777777777778
"PMEPA1",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,88.8888888888889,100
"PPIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP3CA",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44.4444444444444
"PSMD14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.1111111111111,11.1111111111111
"PTEN",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,66.6666666666667,100
"RARA",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,11.1111111111111,44.4444444444444
"RARG",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,55.5555555555556,100
"RHOB",1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,55.5555555555556,77.7777777777778
"SERPINE1",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,88.8888888888889
"SERPINE2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"SKI",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,44.4444444444444,100
"SKIL",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,44.4444444444444,88.8888888888889
"SMAD3",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,66.6666666666667,88.8888888888889
"SMAD7",1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,44.4444444444444,55.5555555555556
"SPARC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88.8888888888889,100
"TGFB1",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,44.4444444444444,100
"TGFBR1",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,77.7777777777778,100
"TGFBR2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88.8888888888889,100
"THBS1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,88.8888888888889,100
"THBS2",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,77.7777777777778
"TIMP1",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,100,77.7777777777778
"TIMP3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"TP53BP1",1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,22.2222222222222,88.8888888888889
"VCAN",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,88.8888888888889,100
