,Assay,Sample,Ct,treatment,time,cell_line,replicate
32198,SERPINE2,TGFb_48_F_6,18.18743,TGFb,48,F,6
32199,SKIL,TGFb_48_F_6,24.00115,TGFb,48,F,6
32200,SMAD7,TGFb_48_F_6,25.51974,TGFb,48,F,6
32201,TGFB1,TGFb_48_F_6,23.95156,TGFb,48,F,6
32202,VEGFA,TGFb_48_F_6,25.50886,TGFb,48,F,6
32204,ACTA2,TGFb_48_F_6,21.02188,TGFb,48,F,6
32205,ATP6AP1,TGFb_48_F_6,24.65924,TGFb,48,F,6
32206,BGN,TGFb_48_F_6,21.24615,TGFb,48,F,6
32207,IL6,TGFb_48_F_6,28.58753,TGFb,48,F,6
32208,ITGA2,TGFb_48_F_6,26.54041,TGFb,48,F,6
32209,JUNB,TGFb_48_F_6,24.51781,TGFb,48,F,6
32210,LOXL1,TGFb_48_F_6,21.73331,TGFb,48,F,6
32211,TGFBR2,TGFb_48_F_6,23.5738,TGFb,48,F,6
32212,COL5A1,TGFb_48_F_6,25.38075,TGFb,48,F,6
32213,DCN,TGFb_48_F_6,20.33705,TGFb,48,F,6
32214,ELN,TGFb_48_F_6,22.60937,TGFb,48,F,6
32215,ETS1,TGFb_48_F_6,26.63368,TGFb,48,F,6
32216,CDKN2A,TGFb_48_F_6,26.76751,TGFb,48,F,6
32217,PSMD14,TGFb_48_F_6,25.92004,TGFb,48,F,6
32218,RARA,TGFb_48_F_6,27.55839,TGFb,48,F,6
32219,RHOB,TGFb_48_F_6,23.00357,TGFb,48,F,6
32220,TIMP3,TGFb_48_F_6,22.0368,TGFb,48,F,6
32221,PPP3CA,TGFb_48_F_6,23.93243,TGFb,48,F,6
32222,CDKN2B,TGFb_48_F_6,27.36788,TGFb,48,F,6
32223,COL1A2,TGFb_48_F_6,18.9457,TGFb,48,F,6
32224,COL4A1,TGFb_48_F_6,23.45461,TGFb,48,F,6
32225,MMP1,TGFb_48_F_6,27.83479,TGFb,48,F,6
32226,MMP14,TGFb_48_F_6,22.83004,TGFb,48,F,6
32227,NOX4,TGFb_48_F_6,24.10268,TGFb,48,F,6
32228,PMEPA1,TGFb_48_F_6,23.45168,TGFb,48,F,6
32229,TIMP1,TGFb_48_F_6,19.00438,TGFb,48,F,6
32230,FGF2,TGFb_48_F_6,23.82908,TGFb,48,F,6
32232,GUSB,TGFb_48_F_6,26.72701,TGFb,48,F,6
32233,ID1,TGFb_48_F_6,25.00329,TGFb,48,F,6
32234,SKI,TGFb_48_F_6,23.83804,TGFb,48,F,6
32235,SMAD3,TGFb_48_F_6,25.77129,TGFb,48,F,6
32236,SPARC,TGFb_48_F_6,19.27188,TGFb,48,F,6
32237,TGFBR1,TGFb_48_F_6,23.3982,TGFb,48,F,6
32238,VIM,TGFb_48_F_6,18.95177,TGFb,48,F,6
32239,TP53BP1,TGFb_48_F_6,24.64182,TGFb,48,F,6
32240,ADAMTS1,TGFb_48_F_6,25.94093,TGFb,48,F,6
32241,B2M,TGFb_48_F_6,20.83739,TGFb,48,F,6
32242,BHLHE40,TGFb_48_F_6,25.93503,TGFb,48,F,6
32243,ITGA1,TGFb_48_F_6,24.63037,TGFb,48,F,6
32244,JUN,TGFb_48_F_6,24.56148,TGFb,48,F,6
32245,LARP6,TGFb_48_F_6,25.3716,TGFb,48,F,6
32246,LOXL2,TGFb_48_F_6,24.88085,TGFb,48,F,6
32247,THBS1,TGFb_48_F_6,20.02783,TGFb,48,F,6
32248,CTGF,TGFb_48_F_6,19.57479,TGFb,48,F,6
32249,EGR2,TGFb_48_F_6,26.32108,TGFb,48,F,6
32250,ENG,TGFb_48_F_6,24.3006,TGFb,48,F,6
32251,FBLN1,TGFb_48_F_6,19.12303,TGFb,48,F,6
32252,PPIA,TGFb_48_F_6,22.59042,TGFb,48,F,6
32253,PTEN,TGFb_48_F_6,23.76026,TGFb,48,F,6
32254,RARG,TGFb_48_F_6,27.36249,TGFb,48,F,6
32255,SERPINE1,TGFb_48_F_6,20.11573,TGFb,48,F,6
32256,VCAN,TGFb_48_F_6,22.4813,TGFb,48,F,6
32257,CAV1,Control_8_F_6,21.52474,Control,8,F,6
32259,COL1A1,Control_8_F_6,21.30951,Control,8,F,6
32261,LTBP2,Control_8_F_6,23.73987,Control,8,F,6
32262,MMP13,Control_8_F_6,29.7956,Control,8,F,6
32263,MMP2,Control_8_F_6,20.63207,Control,8,F,6
32264,PDGFA,Control_8_F_6,29.56776,Control,8,F,6
32265,THBS2,Control_8_F_6,22.51541,Control,8,F,6
32266,FBN1,Control_8_F_6,22.80574,Control,8,F,6
32267,FN1,Control_8_F_6,18.07076,Control,8,F,6
32268,GADD45B,Control_8_F_6,27.59978,Control,8,F,6
32269,HAS2,Control_8_F_6,28.30492,Control,8,F,6
32270,SERPINE2,Control_8_F_6,20.63945,Control,8,F,6
32271,SKIL,Control_8_F_6,26.41516,Control,8,F,6
32272,SMAD7,Control_8_F_6,28.92665,Control,8,F,6
32273,TGFB1,Control_8_F_6,24.87575,Control,8,F,6
32274,VEGFA,Control_8_F_6,26.91936,Control,8,F,6
32276,ACTA2,Control_8_F_6,24.55141,Control,8,F,6
32277,ATP6AP1,Control_8_F_6,24.08391,Control,8,F,6
32278,BGN,Control_8_F_6,22.96128,Control,8,F,6
32279,IL6,Control_8_F_6,28.75561,Control,8,F,6
32280,ITGA2,Control_8_F_6,25.40035,Control,8,F,6
32281,JUNB,Control_8_F_6,26.51429,Control,8,F,6
32282,LOXL1,Control_8_F_6,23.44309,Control,8,F,6
32283,TGFBR2,Control_8_F_6,23.20307,Control,8,F,6
32284,COL5A1,Control_8_F_6,28.05791,Control,8,F,6
32285,DCN,Control_8_F_6,20.38652,Control,8,F,6
32286,ELN,Control_8_F_6,30.25796,Control,8,F,6
32287,ETS1,Control_8_F_6,27.33545,Control,8,F,6
32288,CDKN2A,Control_8_F_6,27.1301,Control,8,F,6
32289,PSMD14,Control_8_F_6,27.4298,Control,8,F,6
32290,RARA,Control_8_F_6,28.01728,Control,8,F,6
32291,RHOB,Control_8_F_6,23.50788,Control,8,F,6
32292,TIMP3,Control_8_F_6,21.17511,Control,8,F,6
32293,PPP3CA,Control_8_F_6,24.61515,Control,8,F,6
32294,CDKN2B,Control_8_F_6,30.46975,Control,8,F,6
32295,COL1A2,Control_8_F_6,20.43546,Control,8,F,6
32296,COL4A1,Control_8_F_6,25.77494,Control,8,F,6
32297,MMP1,Control_8_F_6,26.23663,Control,8,F,6
32298,MMP14,Control_8_F_6,21.84806,Control,8,F,6
32299,NOX4,Control_8_F_6,27.41671,Control,8,F,6
32300,PMEPA1,Control_8_F_6,27.24589,Control,8,F,6
32301,TIMP1,Control_8_F_6,17.9919,Control,8,F,6
32302,FGF2,Control_8_F_6,25.58515,Control,8,F,6
32304,GUSB,Control_8_F_6,26.9205,Control,8,F,6
