,Assay,Sample,Ct,treatment,time,cell_line,replicate
32305,ID1,Control_8_F_6,28.77867,Control,8,F,6
32306,SKI,Control_8_F_6,24.65049,Control,8,F,6
32307,SMAD3,Control_8_F_6,24.46408,Control,8,F,6
32308,SPARC,Control_8_F_6,21.46624,Control,8,F,6
32309,TGFBR1,Control_8_F_6,25.65211,Control,8,F,6
32310,VIM,Control_8_F_6,18.18766,Control,8,F,6
32311,TP53BP1,Control_8_F_6,24.65978,Control,8,F,6
32312,ADAMTS1,Control_8_F_6,25.0516,Control,8,F,6
32313,B2M,Control_8_F_6,20.29086,Control,8,F,6
32314,BHLHE40,Control_8_F_6,29.08496,Control,8,F,6
32315,ITGA1,Control_8_F_6,28.34455,Control,8,F,6
32316,JUN,Control_8_F_6,24.0486,Control,8,F,6
32317,LARP6,Control_8_F_6,24.92571,Control,8,F,6
32318,LOXL2,Control_8_F_6,27.33646,Control,8,F,6
32319,THBS1,Control_8_F_6,20.96284,Control,8,F,6
32320,CTGF,Control_8_F_6,25.29497,Control,8,F,6
32321,EGR2,Control_8_F_6,NA,Control,8,F,6
32322,ENG,Control_8_F_6,24.45589,Control,8,F,6
32323,FBLN1,Control_8_F_6,18.92901,Control,8,F,6
32324,PPIA,Control_8_F_6,22.76299,Control,8,F,6
32325,PTEN,Control_8_F_6,25.03125,Control,8,F,6
32326,RARG,Control_8_F_6,25.85293,Control,8,F,6
32327,SERPINE1,Control_8_F_6,23.01041,Control,8,F,6
32328,VCAN,Control_8_F_6,23.51777,Control,8,F,6
32329,CAV1,Control_1_F_6,21.44821,Control,1,F,6
32331,COL1A1,Control_1_F_6,21.6114,Control,1,F,6
32333,LTBP2,Control_1_F_6,23.76155,Control,1,F,6
32334,MMP13,Control_1_F_6,29.8918,Control,1,F,6
32335,MMP2,Control_1_F_6,20.63223,Control,1,F,6
32336,PDGFA,Control_1_F_6,28.61518,Control,1,F,6
32337,THBS2,Control_1_F_6,22.2006,Control,1,F,6
32338,FBN1,Control_1_F_6,22.81243,Control,1,F,6
32339,FN1,Control_1_F_6,17.79699,Control,1,F,6
32340,GADD45B,Control_1_F_6,27.02222,Control,1,F,6
32341,HAS2,Control_1_F_6,28.96807,Control,1,F,6
32342,SERPINE2,Control_1_F_6,20.26985,Control,1,F,6
32343,SKIL,Control_1_F_6,26.24204,Control,1,F,6
32344,SMAD7,Control_1_F_6,27.46958,Control,1,F,6
32345,TGFB1,Control_1_F_6,24.6059,Control,1,F,6
32346,VEGFA,Control_1_F_6,26.41695,Control,1,F,6
32348,ACTA2,Control_1_F_6,24.7047,Control,1,F,6
32349,ATP6AP1,Control_1_F_6,24.05638,Control,1,F,6
32350,BGN,Control_1_F_6,22.99924,Control,1,F,6
32351,IL6,Control_1_F_6,27.1477,Control,1,F,6
32352,ITGA2,Control_1_F_6,25.23363,Control,1,F,6
32353,JUNB,Control_1_F_6,26.3899,Control,1,F,6
32354,LOXL1,Control_1_F_6,23.82576,Control,1,F,6
32355,TGFBR2,Control_1_F_6,23.24947,Control,1,F,6
32356,COL5A1,Control_1_F_6,28.02394,Control,1,F,6
32357,DCN,Control_1_F_6,20.35538,Control,1,F,6
32358,ELN,Control_1_F_6,30.35951,Control,1,F,6
32359,ETS1,Control_1_F_6,27.71755,Control,1,F,6
32360,CDKN2A,Control_1_F_6,27.07987,Control,1,F,6
32361,PSMD14,Control_1_F_6,27.21152,Control,1,F,6
32362,RARA,Control_1_F_6,27.93767,Control,1,F,6
32363,RHOB,Control_1_F_6,23.53555,Control,1,F,6
32364,TIMP3,Control_1_F_6,20.59307,Control,1,F,6
32365,PPP3CA,Control_1_F_6,24.91518,Control,1,F,6
32366,CDKN2B,Control_1_F_6,29.83412,Control,1,F,6
32367,COL1A2,Control_1_F_6,20.65416,Control,1,F,6
32368,COL4A1,Control_1_F_6,25.5237,Control,1,F,6
32369,MMP1,Control_1_F_6,25.20728,Control,1,F,6
32370,MMP14,Control_1_F_6,21.55975,Control,1,F,6
32371,NOX4,Control_1_F_6,28.30128,Control,1,F,6
32372,PMEPA1,Control_1_F_6,28.19761,Control,1,F,6
32373,TIMP1,Control_1_F_6,17.99564,Control,1,F,6
32374,FGF2,Control_1_F_6,25.55867,Control,1,F,6
32376,GUSB,Control_1_F_6,26.49275,Control,1,F,6
32377,ID1,Control_1_F_6,27.75467,Control,1,F,6
32378,SKI,Control_1_F_6,24.03552,Control,1,F,6
32379,SMAD3,Control_1_F_6,24.50902,Control,1,F,6
32380,SPARC,Control_1_F_6,21.35661,Control,1,F,6
32381,TGFBR1,Control_1_F_6,25.8049,Control,1,F,6
32382,VIM,Control_1_F_6,17.95691,Control,1,F,6
32383,TP53BP1,Control_1_F_6,24.26683,Control,1,F,6
32384,ADAMTS1,Control_1_F_6,24.5537,Control,1,F,6
32385,B2M,Control_1_F_6,20.15287,Control,1,F,6
32386,BHLHE40,Control_1_F_6,28.38455,Control,1,F,6
32387,ITGA1,Control_1_F_6,28.70225,Control,1,F,6
32388,JUN,Control_1_F_6,23.81669,Control,1,F,6
32389,LARP6,Control_1_F_6,24.77062,Control,1,F,6
32390,LOXL2,Control_1_F_6,26.99615,Control,1,F,6
32391,THBS1,Control_1_F_6,20.71049,Control,1,F,6
32392,CTGF,Control_1_F_6,25.87255,Control,1,F,6
32393,EGR2,Control_1_F_6,NA,Control,1,F,6
32394,ENG,Control_1_F_6,24.42976,Control,1,F,6
32395,FBLN1,Control_1_F_6,18.73276,Control,1,F,6
32396,PPIA,Control_1_F_6,22.86342,Control,1,F,6
32397,PTEN,Control_1_F_6,25.29094,Control,1,F,6
32398,RARG,Control_1_F_6,26.11401,Control,1,F,6
32399,SERPINE1,Control_1_F_6,23.10674,Control,1,F,6
32400,VCAN,Control_1_F_6,23.69809,Control,1,F,6
32401,TP53BP1,TGFb_0.5_C_6,24.40904,TGFb,0.5,C,6
32402,ADAMTS1,TGFb_0.5_C_6,23.81734,TGFb,0.5,C,6
32403,B2M,TGFb_0.5_C_6,20.00432,TGFb,0.5,C,6
32404,BHLHE40,TGFb_0.5_C_6,28.73061,TGFb,0.5,C,6
32405,ITGA1,TGFb_0.5_C_6,28.97692,TGFb,0.5,C,6
32406,JUN,TGFb_0.5_C_6,23.94187,TGFb,0.5,C,6
32407,LARP6,TGFb_0.5_C_6,25.63944,TGFb,0.5,C,6
32408,LOXL2,TGFb_0.5_C_6,26.33752,TGFb,0.5,C,6
32409,THBS1,TGFb_0.5_C_6,20.91124,TGFb,0.5,C,6
32410,CTGF,TGFb_0.5_C_6,24.21576,TGFb,0.5,C,6
32411,EGR2,TGFb_0.5_C_6,NA,TGFb,0.5,C,6
32412,ENG,TGFb_0.5_C_6,24.2648,TGFb,0.5,C,6
32413,FBLN1,TGFb_0.5_C_6,20.11158,TGFb,0.5,C,6
32414,PPIA,TGFb_0.5_C_6,22.08338,TGFb,0.5,C,6
32415,PTEN,TGFb_0.5_C_6,24.55935,TGFb,0.5,C,6
32416,RARG,TGFb_0.5_C_6,24.65042,TGFb,0.5,C,6
32417,SERPINE1,TGFb_0.5_C_6,23.11835,TGFb,0.5,C,6
32418,VCAN,TGFb_0.5_C_6,23.42245,TGFb,0.5,C,6
32419,CAV1,TGFb_0.5_C_6,21.03505,TGFb,0.5,C,6
32421,COL1A1,TGFb_0.5_C_6,20.61806,TGFb,0.5,C,6
32423,LTBP2,TGFb_0.5_C_6,24.28098,TGFb,0.5,C,6
32424,MMP13,TGFb_0.5_C_6,29.54345,TGFb,0.5,C,6
32425,MMP2,TGFb_0.5_C_6,20.83371,TGFb,0.5,C,6
32426,PDGFA,TGFb_0.5_C_6,29.79077,TGFb,0.5,C,6
32427,THBS2,TGFb_0.5_C_6,22.89548,TGFb,0.5,C,6
32428,FBN1,TGFb_0.5_C_6,22.64176,TGFb,0.5,C,6
32429,FN1,TGFb_0.5_C_6,17.60032,TGFb,0.5,C,6
32430,GADD45B,TGFb_0.5_C_6,25.8,TGFb,0.5,C,6
32431,HAS2,TGFb_0.5_C_6,27.60013,TGFb,0.5,C,6
32432,SERPINE2,TGFb_0.5_C_6,22.69055,TGFb,0.5,C,6
32433,SKIL,TGFb_0.5_C_6,26.6389,TGFb,0.5,C,6
32434,SMAD7,TGFb_0.5_C_6,28.76646,TGFb,0.5,C,6
32435,TGFB1,TGFb_0.5_C_6,24.66347,TGFb,0.5,C,6
32436,VEGFA,TGFb_0.5_C_6,27.11275,TGFb,0.5,C,6
32438,ACTA2,TGFb_0.5_C_6,24.68492,TGFb,0.5,C,6
32439,ATP6AP1,TGFb_0.5_C_6,24.25445,TGFb,0.5,C,6
32440,BGN,TGFb_0.5_C_6,23.28964,TGFb,0.5,C,6
32441,IL6,TGFb_0.5_C_6,28.177,TGFb,0.5,C,6
32442,ITGA2,TGFb_0.5_C_6,26.1376,TGFb,0.5,C,6
32443,JUNB,TGFb_0.5_C_6,25.29869,TGFb,0.5,C,6
32444,LOXL1,TGFb_0.5_C_6,22.65157,TGFb,0.5,C,6
32445,TGFBR2,TGFb_0.5_C_6,23.6399,TGFb,0.5,C,6
32446,COL5A1,TGFb_0.5_C_6,26.50779,TGFb,0.5,C,6
32447,DCN,TGFb_0.5_C_6,19.93102,TGFb,0.5,C,6
32448,ELN,TGFb_0.5_C_6,29.56853,TGFb,0.5,C,6
32449,ETS1,TGFb_0.5_C_6,26.33855,TGFb,0.5,C,6
32450,CDKN2A,TGFb_0.5_C_6,26.0789,TGFb,0.5,C,6
32451,PSMD14,TGFb_0.5_C_6,27.06748,TGFb,0.5,C,6
32452,RARA,TGFb_0.5_C_6,28.04284,TGFb,0.5,C,6
32453,RHOB,TGFb_0.5_C_6,24.26646,TGFb,0.5,C,6
32454,TIMP3,TGFb_0.5_C_6,23.32808,TGFb,0.5,C,6
32455,PPP3CA,TGFb_0.5_C_6,24.56096,TGFb,0.5,C,6
32456,CDKN2B,TGFb_0.5_C_6,30.75211,TGFb,0.5,C,6
32457,COL1A2,TGFb_0.5_C_6,20.01977,TGFb,0.5,C,6
32458,COL4A1,TGFb_0.5_C_6,26.45645,TGFb,0.5,C,6
32459,MMP1,TGFb_0.5_C_6,25.38481,TGFb,0.5,C,6
32460,MMP14,TGFb_0.5_C_6,22.00422,TGFb,0.5,C,6
32461,NOX4,TGFb_0.5_C_6,28.09964,TGFb,0.5,C,6
32462,PMEPA1,TGFb_0.5_C_6,28.6024,TGFb,0.5,C,6
32463,TIMP1,TGFb_0.5_C_6,19.8186,TGFb,0.5,C,6
32464,FGF2,TGFb_0.5_C_6,26.29581,TGFb,0.5,C,6
32466,GUSB,TGFb_0.5_C_6,26.94881,TGFb,0.5,C,6
32467,ID1,TGFb_0.5_C_6,26.78825,TGFb,0.5,C,6
32468,SKI,TGFb_0.5_C_6,24.33991,TGFb,0.5,C,6
32469,SMAD3,TGFb_0.5_C_6,24.36205,TGFb,0.5,C,6
32470,SPARC,TGFb_0.5_C_6,21.30408,TGFb,0.5,C,6
32471,TGFBR1,TGFb_0.5_C_6,26.86515,TGFb,0.5,C,6
32472,VIM,TGFb_0.5_C_6,17.31792,TGFb,0.5,C,6
32473,TP53BP1,Baseline_0_I_6,25.12679,Baseline,0,I,6
32474,ADAMTS1,Baseline_0_I_6,25.7614,Baseline,0,I,6
32475,B2M,Baseline_0_I_6,20.1935,Baseline,0,I,6
32476,BHLHE40,Baseline_0_I_6,28.19696,Baseline,0,I,6
32477,ITGA1,Baseline_0_I_6,28.50249,Baseline,0,I,6
32478,JUN,Baseline_0_I_6,25.40582,Baseline,0,I,6
32479,LARP6,Baseline_0_I_6,24.90581,Baseline,0,I,6
